feature,label,family,source_cols,super_pillar,sub_pillar,horizon,direction,transform,w_overall,w_chronic,w_acute,include,rationale
log_pop_now,Population 2025 (log10),ghs_pop,pop_ghs_2025,need,patient_pool,current,1,log10,5,3,4,1,"Market size floor: every therapy needs patients. Log because attractiveness scales sub-linearly with raw population. Chronic weighted lower than acute: chronic value concentrates in diagnosed/affluent sub-pools rather than headcount. v1.3: current GHS-POP 2025 replaces census pop2011 (15 years stale + verified errors: Aizawl 37k vs 400k census, Sikar 1.69M vs 2.68M, Delhi pre-2012 layout); same switch applied to every per-100k denominator."
density,Population density (per sq km),census_pca,density,need,patient_pool,current,1,none,3,2,5,1,Concentration makes patients reachable per rep-visit and accelerates infectious transmission. Core acute variable (episodic illness spreads with crowding); mild chronic relevance.
pop_under15_pct,Population under 15 (%),nfhs5,pop_under15_pct,need,patient_pool,current,1,none,2,0,5,1,Paediatric pool drives acute demand (antibiotics ORS antipyretics vaccines). Zero chronic weight: chronic therapies target adults; NFHS 2019-21 vintage beats Census u6 share.
inmigrant_recent_per1000,Recent in-migrants per 1000 (last residence outside district),census_d02,mig_recent_in,need,patient_pool,current,1,per1000,2,1,3,1,"The floating-population / medical-catchment proxy the framework previously lacked (official Census D-02): in-migrants whose last residence was OUTSIDE the district (other districts of the state + other states + abroad), duration <10y at census. Migration magnets carry transient patient pools that lean on episodic first-contact care and pharmacy channels (no local chronic-care relationship yet), and in-migration is revealed economic pull. Acute > chronic. 2011 stock (same vintage class as the SECC shares) per CURRENT resident - the dilution in fast-growing districts makes it conservative; intra-district moves excluded by construction. Extension path: swap in mobility data when a non-scraped source exists."
diabetes_prev_pct,Diabetes prevalence (% adults),nfhs5,"diabetes_women_pct,diabetes_men_pct",need,chronic_burden,current,1,mean,5,5,0,1,Directly measured blood-sugar burden = anti-diabetic market. Repeat-prescription anchor therapy for chronic pharma; men+women averaged for a district adult rate.
hypertension_prev_pct,Hypertension prevalence (% adults),nfhs5,"hypertension_women_pct,hypertension_men_pct",need,chronic_burden,current,1,mean,5,5,0,1,Measured elevated-BP burden = anti-hypertensive/cardiac market; the largest chronic category in Indian pharma (IPM). Same construction as diabetes.
obese_women_pct,Obesity (women BMI 25+ %),nfhs5,obese_women_pct,need,chronic_burden,current,1,none,3,4,0,1,Metabolic-syndrome upstream risk: predicts future diabetes/CVD therapy starts. Only women measured consistently across NFHS rounds.
central_obesity_pct,Central obesity (women high-risk WHR >0.85 %),nfhs5,central_obesity_pct,need,chronic_burden,current,1,none,2,3,0,1,"The LIFESTYLE-driven metabolic-risk signal distinct from BMI. NFHS-5 indicator #80 (women with high-risk waist-to-hip ratio >0.85) - a NEW NFHS-5 measurement (not in NFHS-4), capturing CENTRAL/abdominal adiposity. For South Asians this is the WHO-endorsed 'thin-fat phenotype' marker: it predicts type-2 diabetes / CVD / dyslipidaemia therapy demand BETTER than BMI, and captures the large pool of normal-BMI-but-abdominally-obese Indians that obese_women_pct (#79, BMI>=25) misses. Redundancy gate: max |rho| vs any scored feature is only 0.17 (anaemia, negative), and just +0.09 vs BMI-obesity itself - the cleanest gate pass in the registry, confirming it measures a genuinely orthogonal dimension of chronic latent need rather than re-counting the obesity already carried. Chronic-only (w 2/3/0): a metabolic risk factor for chronic NCD demand, not an acute first-contact market. Weight 3 (risk-factor tier, matching tobacco_use_pct - not the 4-5 of measured disease): it is an upstream modifiable-risk leading indicator, and its near-zero cross-sectional correlation with measured diabetes prevalence (+0.06) is expected for a true risk factor decoupled from diagnosis/access confounding - additive precisely because of that independence, but held at a moderate weight against the known measurement noise in survey waist/hip anthropometry (median 58% high-risk is a broad cut). Direction +: more central obesity = larger future diabetes/CVD patient pool = more chronic latent need. 705/785 observed (full NFHS-5 direct coverage; remainder reach the imputation ladder). Added v1.4.14."
tobacco_use_pct,Tobacco use (% adults),nfhs5,"tobacco_women_pct,tobacco_men_pct",need,chronic_burden,current,1,mean,2,3,0,1,Risk factor for COPD/CVD/oncology therapy demand; leading indicator rather than diagnosed demand hence moderate weight.
alcohol_use_pct,Alcohol use (% adults),nfhs5,"alcohol_women_pct,alcohol_men_pct",need,chronic_burden,current,1,mean,1,2,0,1,Hepatic/GI/psychiatric burden risk factor; weaker and socially under-reported hence low weight.
anaemia_women_pct,Anaemia in women (%),nfhs5,anaemia_women_pct,need,chronic_burden,current,1,none,2,2,2,1,Iron-therapy and gynae-supplement market; sits between chronic (sustained supplementation) and acute (IV iron severe cases) so weighted in both.
opd_diabetes_per1000,Diabetes OPD visits per 1000,hmis,opd_diabetes,need,chronic_burden,current,1,per1000,4,5,0,1,Revealed DIAGNOSED diabetic demand in public OPD - burden that already reaches care. Complements NFHS prevalence (need) with treatment-seeking (demand). Chronic core.
opd_hypertension_per1000,Hypertension OPD visits per 1000,hmis,opd_hypertension,need,chronic_burden,current,1,per1000,4,5,0,1,Revealed diagnosed hypertensive demand; same logic as diabetes OPD.
