specialty_code,specialty_name,package_code,package_name,package_amount_rs,pre_investigations,post_investigations,govt_reserved,referral_basis
BM,Burns Management,BM001A,"% Total Body Surface Area Burns (TBSA) - any % 
(not requiring admission). 
Needs at least 5-6 dressing",7000,"Clinical Notes, MLC copy with number, Extent of burns visible on photograph (with rule of 9 chart)","Post Treatment clinical photograph, lab tests or other diagnostic procedures done as a part of treatment. Detailed clinical notes.",Yes,No
BM,Burns Management,BM001B,"% Total Body Surface Area Burns (TBSA): Upto 40 %; Includes % TBSA skin grafted, flap cover, follow-up dressings etc. as deemed necessary; Surgical procedures are required for deep burns that are not amenable to heal with dressings alone.",40000,"Clinical Notes, MLC copy with number, Extent of upto 40% burns visible on photograph (with rule of 9 chart)","Post Treatment clinical photograph, lab tests, X-rays or other diagnostic procedures done as a part of treatment. Detailed discharge summary.",No,--
BM,Burns Management,BM001C,"% Total Body Surface Area Burns (TBSA): 40% - 60 %; Includes % TBSA skin grafted, flap cover, follow-up dressings etc. as deemed necessary; Surgical procedures are required for deep burns that are not amenable to heal with dressings alone.",50000,"Clinical Notes, MLC copy with number, Extent of upto 40% - 60% burns visible on photograph (with rule of 9 chart)","Post Treatment clinical photograph, lab tests, X-rays or other diagnostic procedures done as a part of treatment. Detailed discharge summary.",No,--
BM,Burns Management,BM001D,"% Total Body Surface Area Burns (TBSA): > 60 %; Includes % TBSA skin grafted, flap cover, follow-up dressings etc. as deemed necessary; Surgical procedures are required for deep burns that are not amenable to heal with dressings alone.",80000,"Clinical Notes, MLC copy with number, Extent > 60% burns visible on photograph (with rule of 9 chart)","Post Treatment clinical photograph, lab tests, X-rays or other diagnostic procedures done as a part of treatment. Detailed discharge summary.",No,--
BM,Burns Management,BM002A,"% Total Body Surface Area Burns (TBSA) - any % 
(not requiring admission). 
Needs at least 5-6 dressing",7000,"Clinical Notes, MLC copy with number, Extent of burns visible on photograph (with rule of 9 chart)","Post Treatment clinical photograph, lab tests or other diagnostic procedures done as a part of treatment. Detailed clinical notes.",Yes,No
BM,Burns Management,BM002B,"% Total Body Surface Area Burns (TBSA): Upto 40 %; Includes % TBSA skin grafted, flap cover, follow-up dressings etc. as deemed necessary; Surgical procedures are required for deep burns that are not amenable to heal with dressings alone.",40000,"Clinical Notes, MLC copy with number, Extent of upto 40% burns visible on photograph (with rule of 9 chart)","Post Treatment clinical photograph, lab tests, X-rays or other diagnostic procedures done as a part of treatment. Detailed discharge summary.",No,--
BM,Burns Management,BM002C,"% Total Body Surface Area Burns (TBSA): 40% - 60 %; Includes % TBSA skin grafted, flap cover, follow-up dressings etc. as deemed necessary; Surgical procedures are required for deep burns that are not amenable to heal with dressings alone.",50000,"Clinical Notes, MLC copy with number, Extent of upto 40% - 60% burns visible on photograph (with rule of 9 chart)","Post Treatment clinical photograph, lab tests, X-rays or other diagnostic procedures done as a part of treatment. Detailed discharge summary.",No,--
BM,Burns Management,BM002D,"% Total Body Surface Area Burns (TBSA): >  60 %; Includes % TBSA skin grafted, flap cover, follow-up dressings etc. as deemed necessary; Surgical procedures are required for deep burns that are not amenable to heal with dressings alone.",80000,"Clinical Notes, MLC copy with number, Extent > 60% burns visible on photograph (with rule of 9 chart)","Post Treatment clinical photograph, lab tests, X-rays or other diagnostic procedures done as a part of treatment. Detailed discharge summary.",No,--
BM,Burns Management,BM003A,"% Total Body Surface Area Burns (TBSA) - any % 
(not requiring admission). 
Needs at least 5-6 dressing",7000,"Clinical Notes, MLC copy with number, Extent of burns visible on photograph (with rule of 9 chart)","Post Treatment clinical photograph, lab tests, X-rays or other diagnostic procedures done as a part of treatment. Detailed discharge summary.",Yes,No
BM,Burns Management,BM003B,"% Total Body Surface Area Burns (TBSA): Upto 40 %; Includes % TBSA skin grafted, flap cover, follow-up dressings etc. as deemed necessary; Surgical procedures are required for deep burns that are not amenable to heal with dressings alone.",40000,"Clinical Notes, MLC copy with number, Extent of upto 40% burns visible on photograph (with rule of 9 chart)","Post Treatment clinical photograph, lab tests, X-rays or other diagnostic procedures done as a part of treatment. Detailed discharge summary.",No,--
BM,Burns Management,BM003C,"% Total Body Surface Area Burns (TBSA): 40 % - 60 %; Includes % TBSA skin grafted, flap cover, follow-up dressings etc. as deemed necessary; Surgical procedures are required for deep burns that are not amenable to heal with dressings alone.",50000,"Clinical Notes, MLC copy with number, Extent of upto 40% - 60% burns visible on photograph (with rule of 9 chart)","Post Treatment clinical photograph, lab tests, X-rays or other diagnostic procedures done as a part of treatment. Detailed discharge summary.",No,--
BM,Burns Management,BM003D,"% Total Body Surface Area Burns (TBSA): >  60 %; Includes % TBSA skin grafted, flap cover, follow-up dressings etc. as deemed necessary; Surgical procedures are required for deep burns that are not amenable to heal with dressings alone.",80000,"Clinical Notes, MLC copy with number, Extent > 60% burns visible on photograph (with rule of 9 chart)","Post Treatment clinical photograph, lab tests, X-rays or other diagnostic procedures done as a part of treatment. Detailed discharge summary.",No,--
BM,Burns Management,BM004A,"Electrical contact burns: Low voltage - without part of limb / limb loss; Includes % TBSA skin grafted, flap cover, follow-up dressings etc. as deemed necessary; Surgical procedures are required for deep burns that are not amenable to heal with dressings alone.",30000,"Circumstances that led to low voltage electrical contact burns, MLC copy with number. % burns visible on clinical photograph (with rule of 9 chart)","Post Treatment clinical photograph, lab tests, X-rays or other diagnostic procedures done as a part of treatment. Detailed discharge summary. Detailed Procedure / Operative Notes if surgery done.",No,--
BM,Burns Management,BM004B,"Electrical contact burns: Low voltage - with part of limb / limb loss; Includes % TBSA skin grafted, flap cover, follow-up dressings etc. as deemed necessary; Surgical procedures are required for deep burns that are not amenable to heal with dressings alone.",40000,"Circumstances that led to low voltage electrical contact burns, MLC copy with number. % burns visible on clinical photograph (with rule of 9 chart)","Post Treatment clinical photograph, lab tests, X-rays or other diagnostic procedures done as a part of treatment. Detailed discharge summary. Detailed Procedure / Operative Notes if surgery done.",No,--
BM,Burns Management,BM004C,"Electrical contact burns: High voltage - with part of limb / limb loss; Includes % TBSA skin grafted, flap cover, follow-up dressings etc. as deemed necessary; Surgical procedures are required for deep burns that are not amenable to heal with dressings alone.",60000,"Circumstances that led to High voltage electrical contact burns, MLC copy with number. % burns visible on clinical photograph (with rule of 9 chart)","Post Treatment clinical photograph, lab tests, X-rays or other diagnostic procedures done as a part of treatment. Detailed discharge summary. Detailed Procedure / Operative Notes if surgery done.",No,--
BM,Burns Management,BM004D,"Electrical contact burns: High voltage - without part of limb / limb loss; Includes % TBSA skin grafted, flap cover, follow-up dressings etc. as deemed necessary; Surgical procedures are required for deep burns that are not amenable to heal with dressings alone.",50000,"Circumstances that led to High voltage electrical contact burns, MLC copy with number. % burns visible on clinical photograph (with rule of 9 chart)","Post Treatment clinical photograph, lab tests, X-rays or other diagnostic procedures done as a part of treatment. Detailed discharge summary. Detailed Procedure / Operative Notes if surgery done.",No,--
BM,Burns Management,BM005A,"Chemical burns: Without significant facial scarring and/or loss of function; Includes % TBSA skin grafted, flap cover, follow-up dressings etc. as deemed necessary; Surgical procedures are required for deep burns that are not amenable to heal with dressings alone.",40000,"Circumstances that led to chemical burns, MLC copy with number, % and area burnt visible on clinical photograph 
(with rule of 9 chart)","Post Treatment clinical photograph showing treated burns, lab tests, X-rays or other diagnostic procedures done as a part of treatment.Detailed discharge summary. Detailed Procedure / Operative Notes if surgery done.",No,--
BM,Burns Management,BM005B,"Chemical burns: With significant facial scarring and/or loss of function; Includes % TBSA skin grafted, flap cover, follow-up dressings etc. as deemed necessary; Surgical procedures are required for deep burns that are not amenable to heal with dressings alone.",60000,"Circumstances that led to chemical burns, MLC copy with number, % and area burnt visible on clinical photograph 
(with rule of 9 chart)","Post Treatment clinical photograph showing treated burns, lab tests, X-rays or other diagnostic procedures done as a part of treatment.Detailed discharge summary. Detailed Procedure / Operative Notes if surgery done.",No,--
BM,Burns Management,BM006A,"Post Burn Contracture surgeries for Functional Improvement (Package including splints, pressure garments, silicone - gel sheet and physiotherapy): Excluding Neck contracture; Contracture release with - Split thickness Skin Graft (STSG) / Full Thickness Skin Graft (FTSG) / Flap cover is done for each joint with post - operative regular dressings for STSG / FTSG / Flap cover.",50000,"Clinical history detailing the burns - etiology, treatment given and resultant contractures left. Functional disability to be detailed and expected functional improvement to be shared. Pre-op clinical photograph.","Post Treatment clinical photograph, Detailed discharge summary. Detailed Procedure / Operative Notes.",No,--
BM,Burns Management,BM006B,"Post Burn Contracture surgeries for Functional Improvement (Package including splints, pressure garments, silicone - gel sheet and physiotherapy): Neck contracture; Contracture release with - Split thickness Skin Graft (STSG) / 
Full Thickness Skin Graft (FTSG) / Flap cover is done for each joint with post-operative regular dressings for STSG / FTSG / Flap cover.",50000,"Clinical history detailing the burns - etiology, treatment given and resultant contractures left. Functional disability to be detailed and expected functional improvement to be shared. Pre-op clinical photograph.","Post Treatment clinical photograph, Detailed discharge summary. Detailed Procedure / Operative Notes.",No,--
BM,Burns Management,BMU100,Unspecified Surgical Package,0,NA,NA,No,--
ER,Emergency Room Packages (Care requiring less than 12 hrs stay),ER001A,Laceration - Suturing / Dressing,2000,Clinical notes with planned line of treatment with pre-clinical photograph,Clinical notes / discharge summary with planned line of treatment & post clinical photograph,No,--
ER,Emergency Room Packages (Care requiring less than 12 hrs stay),ER002A,Emergency with stable cardiopulmonary status,2000,"Clinical notes with planned line of treatment, ECG",Clinical notes / discharge summary with planned line of treatment ,No,--
ER,Emergency Room Packages (Care requiring less than 12 hrs stay),ER002B,Emergency with unstable cardiopulmonary status with resuccitation,10000,"Clinical notes with planned line of treatment, ECG",Clinical notes / discharge summary with planned line of treatment ,No,--
ER,Emergency Room Packages (Care requiring less than 12 hrs stay),ER003A,Animal bites (Excluding Snake Bite),1700,Classification of bites with pre-clinical photograph,"Beneficiary signature / thumb impession; invoice / bar code sticker of the vaccine, Clinical Notes with complete treatment details given",Yes,No
ER,Emergency Room Packages (Care requiring less than 12 hrs stay),SB001A,"Fracture - Conservative Management - 
Without plaster",2000,"Clinical notes with planned line of treatment including planned line of treatment, X-ray films with reports ","Procedure / Operation notes, Post procedure X-ray films with reports, Detailed Discharge Summary",Yes,No
ER,Emergency Room Packages (Care requiring less than 12 hrs stay),SU073A,Emergency management of Hematuria,0,Clinical notes detailing the hematuria with urine report showing frank or microscopic?,Evidence of investigations done treatment given; detailed discharge summary,No,--
