package_code,specialty_code,package_name,package_amount_rs,daycare_reason
ER001A,ER,Laceration - Suturing / Dressing,2000,ER: <12hr stay by definition
ER002A,ER,Emergency with stable cardiopulmonary status,2000,ER: <12hr stay by definition
ER002B,ER,Emergency with unstable cardiopulmonary status with resuccitation,10000,ER: <12hr stay by definition
ER003A,ER,Animal bites (Excluding Snake Bite),1700,ER: <12hr stay by definition
SB001A,ER,"Fracture - Conservative Management - 
Without plaster",2000,ER: <12hr stay by definition
SU073A,ER,Emergency management of Hematuria,0,ER: <12hr stay by definition
BM001A,BM,"% Total Body Surface Area Burns (TBSA) - any % 
(not requiring admission). 
Needs at least 5-6 dressing",7000,name implies same-day care
BM002A,BM,"% Total Body Surface Area Burns (TBSA) - any % 
(not requiring admission). 
Needs at least 5-6 dressing",7000,name implies same-day care
BM003A,BM,"% Total Body Surface Area Burns (TBSA) - any % 
(not requiring admission). 
Needs at least 5-6 dressing",7000,name implies same-day care
MG072A,MG,Haemodialysis,1500,name implies same-day care
MG072B,MG,Peritoneal Dialysis,1500,name implies same-day care
MG074A,MG,Whole Blood transfusion,2000,name implies same-day care
MG074B,MG,"Blood component including platelet transfusion (RDP, PC, SDP)",2000,name implies same-day care
SB052A,SB,Anti-biotic + dressing - minimum of 5 sessions,10900,name implies same-day care
SB052B,SB,Anti-biotic + dressing - minimum of 2 sessions,3000,name implies same-day care
SE012B,SE,Corneal Graft - Follow Up,2000,name implies same-day care
SG097A,SG,Stoma Management follow up of Ileostomy,4500,name implies same-day care
SG097B,SG,Stoma Management follow up of Colostomy,4500,name implies same-day care
SL035C,SL,Intratympanic injections,1200,name implies same-day care
SO021A,SO,Intrauterine transfusions,11000,name implies same-day care
SU006A,SU,Open Nephrolithotomy - Follow Up,1000,name implies same-day care
SU009A,SU,Nephrostomy (PCN) - Follow Up,1200,name implies same-day care
SU015A,SU,URSL / URSL - Laser - Follow Up,1000,name implies same-day care
SU017A,SU,ESWL - Follow Up,1000,name implies same-day care
SU019A,SU,Lap Ureterolithotomy - Follow Up,1000,name implies same-day care
SU020A,SU,Open Ureterolithotomy - Follow Up,1000,name implies same-day care
SU022A,SU,Pyeloplasty - Follow Up,1500,name implies same-day care
